Question,Answer,Predictive Answer
is central park adjacent to uhuru park,central park is adjacent to uhuru park,yes 
was amedeo avogadro was born in turin,yes,yes 
what do all turtles and tortoises breathe,air,air 
are penguins astonishingly agile,in the water they are,yes 
do they prefer forested areas,yes,yes 
was the si  unit  of charge  the  coulomb  named after him,yes,yes 
is the drum a member of the percussion group,yes,yes 
what are the two main varieties of indian flutes,bansuri and the venu or pullanguzhal,the government of the sitting president taylor 
when did ghana achieve independence from the united kingdom,1957,1908 
which part of the strings does the left hand touch,the lower strings,the largest primarily frenchspeaking city in the western world is paris 
give an example of the largest twoyear community colleges in the country,the city college of san francisco,no 
was ford a member of the house of representatives,yes,yes 
was henri becquerel the sole winner of the 1903 nobel prize in physics,no,yes 
are the prefixes en and em always nasalized,yes,yes 
20415244032041530070 lunchbox or boxed lunch from bento and 2600929702 prepared cuisine are loan words from which language,japanese,yes 
do female polar bears weight more than the male,no,no 
is there a becquerel crater on the moon and a becquerel crater on mars,yes,yes 
is it true that provinces have a large degree of autonomy,yes,yes 
is it true that loschmidt calculated first the value of avogadro number,yes,yes 
from what did pascal suffer throughout his life,ill health,pleurodira 
are hutongs disappearing,yes,yes 
are swan birds of the family anatidae,yes,yes 
what lived in columbia,wilson,over two hundred 
what are orchestral crash cymbals technically called,clash cymbals,a luthier 
did wilson have any siblings,yes,yes 
whom did he share the nobel prize with,pierre and marie curie,yes 
is it possible to open flutes at one or both ends,yes,yes 
how many strings does a guitar typically have,six,six 
who was not long in finding another lover jacqueline roque,picasso,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
where is irving berlins piano located,in the smithsonian museum,in the smithsonian museum 
what period of rapid economic growth did the united states experience during coolidges presidency,the roaring twenties,the federalist party 
is it a disadvantage for something to be unsafe to handle,yes,yes 
is a leopard larger and less lanky than a cheetah,yes,yes 
why are penguins countershaded,for camouflage,yes 
was nikola tesla close friends with mark twain,yes,yes 
who was grants brother in law,fred dent,volta 
is he most noted for his contributions to the theory of molarity and molecular weight,yes,yes 
drums are usually played by what,the hands or by one or two sticks,the hands or by one or two sticks 
have kangaroos large  powerful hind legs  large feet adapted for leaping  a long muscular tail for balance  and a small head,yes,yes 
did roosevelt study biology,he was strong in biology,yes 
when was the six day war,1967,1967 
is the us copyright representative for the picasso administration the artists rights society,yes,yes 
give an example of the most renowned works of the renaissance,the statue of david completed by michelangelo in 1504,the three heaviest cats in the world is the site of the german parliament 
was pascal a french mathematician,yes,yes 
when did he become a professor,1820,at the battle of singapore 
what is the average life expectancy of a kangaroo,46 years,a luthier 
does uruguay have cold summers,no,no 
was avogadro a  professor at the university of turin,yes avogadro was a professor at the university of turin,yes 
what is the cause of local earthquakes,the nearby san andreas and hayward faults are responsible for much earthquake activity,the largest primarily frenchspeaking city in the western world is the site of the german parliament 
has the terrain in the city been artificially raised,yes,yes 
what did james monroe make in 1817,two long tours,two long tours 
is it true that semantics causes a number of false friends,true,no 
which album was the song the bonny swans from,the mask and mirror,the mask and mirror 
was sir isaac newton an english physicist and mathematician,yes,yes 
did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time,no,no 
why did indonesia break off relations with the peoples republic of china,anticommunist purges early in the suharto era,no 
is it a winter sports resort,yes,yes 
what is used to protect a vehicale from a kangaroo,roo bars,a luthier 
was tesla hired by edison,yes,yes 
when did the first official report of kangaroo blindness take place,1994,alessandro volta improved and popularized the electrophorus in 1775 
which defense mechanism uses colour or shape to deceive potential enemies,mimicry,the leopards ecological role 
what would a tiger do when seized by a crocodile,a tiger will strike at the reptiles eyes with its paws,a luthier 
what is the sanskrit word for swan,hamsa or hansa,hamsa or hansa 
is it a host city for the formula one world championship,yes,yes 
was his father inspector of the royal fields,yes,yes 
did pascal have poor health throughout his life,yes,yes 
what is the standardized form of spoken chinese,the standardized form of spoken chinese is standard mandarin,the volt 
have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars,yes,yes 
where did volta enter retirement,spain,in 1451 berlin gave up its status as a free hanseatic city 
did caunte take control of the english throne in 101,no,no 
european books and maps began referring to this region as canada in what year,1545,1868 
is rrb  officially the state of qatar lrb arabic   transliterated as dawlat qatar rrb  an arab emirate in southwest asia,yes,yes 
does san francisco have a high percentage of gay and lesbian individuals,yes according to the 2005 american community survey san francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest us cities at 154,yes 
what did taylor and fillmore disagree upon,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
when did classical chinese literature begin,classical chinese literature began in the 14th to 11th centuires bce,classical chinese literature began in the 14th to 11th centuires bce 
what is the boiling point of water dependent on,atmospheric pressure,atmospheric pressure 
can a short bar follow a long bar,no,no 
what part of an elephant is very important for temperature regulation,ears,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
what is the first number on the page,28,28 
what is the official standard language used by the peoples republic of china the republic of china and singapore where it is called huayu,putonghua  guoyu often called mandarin,a luthier 
how do most ants travel,most ants travel by walking,most adult males weigh 350650 kg 
when was melbourne officially declared as a city,1847,in 1451 berlin gave up its status as a free hanseatic city 
what is the last word on the page,connecticut,28 
does a black moth mean that someone has died,in the philippines a black butterfly or moth mean that someone has died,yes 
is it possible to alter the word order to stress the importance of a certain phrase,yes,yes 
is it true that he married louise dãsirãe lorieux in 1890,yes,yes 
is it true that he published his invention of the voltaic pile battery,yes,yes 
what is the first word on the page,james_monroe,28 
what is the population of copenhagen,1153615,pleurodira 
can beetles be found in almost all habitats,yes,yes 
hence  can relative molecular masses be calculated from the masses of gas samples,yes,yes 
when did rockwell marry his first wife irene oconnor,in 1916,in 1451 berlin gave up its status as a free hanseatic city 
where is the bust of queen nefertiti,the bust of queen nefertiti is in the altes museum,the leopards ecological role 
who is the head of state of ghana,president john agyekum kofuor,john agyekum kufuor 
what are characteristic features of finnish,vowel harmony and an agglutinative morphology,the volt 
is singapore located at the southern tip of the korean penisula,no,no 
when did james monroe die,july 4 1831,1908 
are elephants good swimmers,yes,yes 
what positions ford played in the school football team,center and linebacker,center and linebacker 
is he best known for developing coulombs law the definition of the electrostatic force of attraction and repulsion,yes,yes 
what happens when the center of a cymbal is hit,it causes a sound which is in a higher register than the rest of the symbal,it causes a sound which is in a higher register than the rest of the cymbal 
is the name of the upper shell of a turtle called the plastron,no,no 
is today he widely regarded as one of historys greatest painters and an important contributor to the foundations of modern art,yes,yes 
if a turtle egg was kept warm what would likely hatch,a female turtle,a female turtle 
where was james monroe shot,at the battle of trenton in his left shoulder,at the battle of singapore 
is german an inflected  language,yes,yes 
was coolidge the thirteenth president of the united states,yes,yes 
was tesla rich at the time of his death,no,no 
is the trumpet the musical instrument with the highest register in the brass family,yes,yes 
when did organized agriculture appear in the nile valley,about 6000 bc,about 6000 bc 
what notable people have been named santiago,benito hugo and others,pleurodira 
what is the second main orchestral use of cymbals,the suspended cymbal,the emperor penguin aptenodytes forsteri 
why do wolves howl,to pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances,to defend against predators an octopus can hide flee quickly expel ink or use colorchanging camouflage 
was faraday born in england,yes,yes 
who got seward elected to the senate,weed ultimately got seward elected to the senate,weed 
was he a member of the royal superior council on public instruction,yes,yes 
did pascal write about cycloid before 1658,no,no 
is the tuning gdae used for most violin music,yes,yes 
is the mechanism in an upright piano perpendicular to its keys,the mechanism in upright pianos is perpendicular to the keys,yes 
are turtles ectothermic,yes,yes 
are all dialects of korean similar to each other,yes,yes 
which county was lincoln born in,hardin county,christian 
why are sea otters nearly extinct,theyve been hunted for their fur,yes 
who was a member of the sandemanian sect of christianity,yes,yes 
where is the most densely populated part of canada,the most densely populated part of the country is the quebec citywindsor corridor along the great lakes and saint lawrence river in the southeast,the most common cymbals the the battle of singapore 
is it the second smallest independent country in south america  larger only than suriname and the french overseas department of french guiana,yes,yes 
can the origins of cymbals be traced back to prehistoric times,yes,yes 
what enjoys one of the worlds highest standards of living,liechtensteins population,over two hundred 
are giraffes hunted for their hides,yes,yes 
what was roosevelts justification for supporting desegregation of schools in new york,noting that his children had been educated with other races and there was nothing wrong with it,fillmore was born 
how many years ago did charlesaugustin de coulomb die,203,over 300 languages are spoken in london 
what allows the butterfly to evade predators,a butterflys hind wings allow the butterfly to evade predators,a polar bears skin 
what is a person that makes or repairs violins called,a luthier or simply a violin maker,a luthier 
what is the most common type of trumpet,the b trumpet,brass tubing bent twice into an oblong shape 
is vietnamese the official administrative language of vietnam,yes,yes 
like many larger where cities san francisco is a minoritymajority city as nonhispanic whites comprise less than half of the population,us,university 
what is along the citys western border,taipei has the danshui river along its western border,the government of the country 
is a beetles general anatomy uniform,yes,yes 
are the modern chinese dialects more like a family,yes,yes 
onefifth of world population speak some form of what,chinese,chinese 
what kinds of changes have larger kangaroos adapted much better to,changes wrought to the australian landscape by humans,they are food to beetles 
what is the study of beetles called,coleopterology,pleurodira 
what kinds of coats do wolves have,tough guard hairs that repel water and dirt and a dense waterresistant layer,six 
who was avogadros wife,felicita mazzé was avogadros wife,felicita mazzé was avogadros number 
what does era of good feelings refers to,monroe allowed his political base to decay which reduced tensions and led to the naming of his era as the era of good feelings,they are food to beetles 
do foxes damage fruit on farms,no,no 
is an official language of canada german,no,no 
does the mother care for the young,no,no 
was grants fatherinlaw a democrat,yup,yes 
why do some people believe that lefthanded people should learn to play guitars as righthanded people do,to standardise the instrument,they are food to beetles 
has the terrain in the city been artificially raised,yes,yes 
where are the western arabic numerals used,north africa,the largest primarily frenchspeaking city in the western world is paris 
what was the faraday effect first called,diamagnetism,diamagnetism 
did the election of 1800 not become a bitter and volatile battle  with each side expressing extraordinary fear of the other party and its policies,no,no 
when did nikola tesla appear on the cover of time magazine,1931,on the shoulder 
where is collège des quatrenations located,in montpellier,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
did theodore roosevelt study judo,no,no 
why is the giant otter becoming increasingly rare,poaching habitat loss and the use of mercury in illegal alluvial gold mining,poaching habitat loss and the use of mercury in illegal alluvial gold mining 
is the xylophone a musical instrument,yes,yes 
where did he serve two terms,the church of scotland,the west irian liberation statue is one of the many sukarno era monuments in the city 
what countries border egypt,libya sudan the gaza strip and israel,more than 78 million 
did faraday discover diamagnetism,yes,yes 
when did lincoln first serve as president,march 4 1861,march 4 1861 
when was james monroe appointed to secretary of war,1814,no 
why is arabic related to islam,arabic is the liturgical language of islam,in many areas wild ducks farmed and released into an oblong shape 
is an elephants skin tough,yes,yes 
what are violins made of,maple ebony sheep gut,brass tubing bent twice into an oblong shape 
forward erect ears and slightly bristle hackles are a sign of what in wolves,dominance,taipei produces high technology and hitech components 
what do kangaroos use for crawlwalking,its hind feet,its tongue 
have two of renoirs paintings sold for more than us0 million,yes any painting sells for more than 0 million though,yes 
what is surplus killing,surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting,the three heaviest cats in the world are the tiger lion and jaguar 
what part of the cymbal is the bell,the center of a cymbal,the three heaviest cats in the world is the site of the german parliament 
how many state parks are in san francisco,there is only one park managed by the california state park system candlestick point,over two hundred 
what are the most common cymbals,the most common cymbals are the hihats crash splash ride and china,the three heaviest cats in the world are the tiger lion and jaguar 
can polar bears be seen under infrared photography,only their breath and muzzles can be easily seen,no 
is swahili spoken in mozambique,yes,yes 
was pascals earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators the study of fluids and clarified the concepts of pressure and vacuum by generalizing the work of evangelista torricelli,yes,no 
qatar became an independent sovereign state in what year,on september 3 1971,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is the electric eel a true eel,no the electric eel is not a true eel,no 
who also discovered that less than three percent of kangaroos exposed to the virus developed blindness,veterinarians,its tongue 
how old was anders celsius when he died,42,53 
do scholars rank lincoln among the top three presidents,yes,yes 
where was the largest elephant ever recorded shot,angola,the mask and mirror 
did faraday construct the ancestor of modern power generators,yes,yes 
can citizens propose changes to the constitution,yes people are allowed to challenge laws,yes 
in what year did james travel to lodon to study instrumentmaking,1753,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
who is depicted holding the flag in the famous painting of washington crossing the delaware,monroe,the slide down snowy slopes apparently 
what is widely used by the lebanese especially for administrative purposes,french,french 
what is henri becquerel,henri becquerel was a famous physicist,pleurodira 
when did protouralic language arrive in finland,around 1900 bce,cmx 
was abraham lincoln the first president of the united states,no,yes 
what happened in a region not quite 2000 km south of the equator 35 mya,at least one giant penguin,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
what is named after him,the celsius crater on the moon,the largest primarily frenchspeaking 
how did vespoid wasps evolve,from predatory ancestors,from g3 to c8 
was education another area  of service  for faraday,yes,yes 
do penguins have a better than average sense of hearing for birds,yes,yes 
what religion holds majority in melbourne,christianity,christian 
was liechtenstein completed in november 2000,no,yes 
does the giant otter inhabit south africa,no,no 
what is the official language of turkey,turkish is the official language of turkey,turkish 
is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage  or whether gigantism was evolved independently in a much restricted palaeeudyptinae and the anthropornithinae,it is not even known,yes 
is golden gate park the largest city park,yes,yes 
what does avogadros law state,the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,the leopards ecological role 
where do giant pandas live,sichuan province shaanxi and gansu provinces,in 1776 china and taiwan 
what does avogadros law state,avogadros law states that the relationship between the masses of the same volume of different gases at the same temperature and pressure corresponds to the relationship between their respective molecular weights,the government seeks to increase its gdp contribution to 3 by 2012 
where did the xylophone originate,indonesia,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
may a single female lay from several dozen to several thousand eggs during her lifetime,yes,yes 
how does swahili time run,swahili time runs from dawn to dusk,sea otters enhydra lutris live along the pacific coast of north america 
is a collision with a vehicle capable of killing a kangaroo,yes,yes 
where is the mouth of an octopus,the mouth of an octopus is at the center point of the arms,the largest primarily frenchspeaking city in the western world is the site of the german parliament 
where are the only surviving giant tortoises,seychelles and galï½pagos islands,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
had the language already been used as the lingua franca throughout the archipelago since the 15th century,yes,yes 
how old was celsius when he died,42,53 
what does the name kuala lumpur mean,muddy confluence muddy estuary and muddy city,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is san francisco also the financial cultural and transportation center of the larger san francisco bay area a region of 74 million people,yes,yes 
