Question,Answer,Predictive Answer
is central park adjacent to uhuru park,central park is adjacent to uhuru park,central park is adjacent to uhuru park 
was amedeo avogadro was born in turin,yes,yes 
what do all turtles and tortoises breathe,air,air 
are penguins astonishingly agile,in the water they are,in the water they are 
do they prefer forested areas,yes,yes 
was the si  unit  of charge  the  coulomb  named after him,yes,yes 
is the drum a member of the percussion group,yes,yes 
what are the two main varieties of indian flutes,bansuri and the venu or pullanguzhal,bansuri and the venu or pullanguzhal 
when did ghana achieve independence from the united kingdom,1957,1957 
which part of the strings does the left hand touch,the lower strings,the lower strings 
give an example of the largest twoyear community colleges in the country,the city college of san francisco,the city college of san francisco 
was ford a member of the house of representatives,yes,yes 
was henri becquerel the sole winner of the 1903 nobel prize in physics,no,no 
are the prefixes en and em always nasalized,yes,yes 
20415244032041530070 lunchbox or boxed lunch from bento and 2600929702 prepared cuisine are loan words from which language,japanese,japanese 
do female polar bears weight more than the male,no,no 
is there a becquerel crater on the moon and a becquerel crater on mars,yes,yes 
is it true that provinces have a large degree of autonomy,yes,yes 
is it true that loschmidt calculated first the value of avogadro number,yes,yes 
from what did pascal suffer throughout his life,ill health,ill health 
are hutongs disappearing,yes,yes 
are swan birds of the family anatidae,yes,yes 
what lived in columbia,wilson,wilson 
what are orchestral crash cymbals technically called,clash cymbals,clash cymbals 
did wilson have any siblings,yes,yes 
whom did he share the nobel prize with,pierre and marie curie,pierre and marie curie 
is it possible to open flutes at one or both ends,yes,yes 
how many strings does a guitar typically have,six,six 
who was not long in finding another lover jacqueline roque,picasso,picasso 
where is irving berlins piano located,in the smithsonian museum,in the smithsonian museum 
what period of rapid economic growth did the united states experience during coolidges presidency,the roaring twenties,the roaring twenties 
is it a disadvantage for something to be unsafe to handle,yes,yes 
is a leopard larger and less lanky than a cheetah,yes,yes 
why are penguins countershaded,for camouflage,for camouflage 
was nikola tesla close friends with mark twain,yes,nikola tesla was close friends with mark twain 
who was grants brother in law,fred dent,fred dent 
is he most noted for his contributions to the theory of molarity and molecular weight,yes,old chinese 
drums are usually played by what,the hands or by one or two sticks,the hands or by one or two sticks 
have kangaroos large  powerful hind legs  large feet adapted for leaping  a long muscular tail for balance  and a small head,yes,yes 
did roosevelt study biology,he was strong in biology,he was strong in biology 
when was the six day war,1967,1967 
is the us copyright representative for the picasso administration the artists rights society,yes,adjacent mud sand michelangelo partido 
give an example of the most renowned works of the renaissance,the statue of david completed by michelangelo in 1504,the statue of david completed by michelangelo in 1504 
was pascal a french mathematician,yes,yes 
when did he become a professor,1820,1820 
what is the average life expectancy of a kangaroo,46 years,roo bars 
does uruguay have cold summers,no,no 
was avogadro a  professor at the university of turin,yes avogadro was a professor at the university of turin,yes avogadro was a professor at the university of turin 
what is the cause of local earthquakes,the nearby san andreas and hayward faults are responsible for much earthquake activity,the nearby san andreas and hayward faults are responsible for much earthquake activity 
has the terrain in the city been artificially raised,yes,yes 
what did james monroe make in 1817,two long tours,two long tours 
is it true that semantics causes a number of false friends,true,true 
which album was the song the bonny swans from,the mask and mirror,the mask and mirror 
was sir isaac newton an english physicist and mathematician,yes,yes 
did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time,no,no 
why did indonesia break off relations with the peoples republic of china,anticommunist purges early in the suharto era,anticommunist purges early in the suharto era 
is it a winter sports resort,yes,a flutes volume can be increased by making its resonator and tone holes larger 
what is used to protect a vehicale from a kangaroo,roo bars,roo bars 
was tesla hired by edison,yes,yes 
when did the first official report of kangaroo blindness take place,1994,1994 
which defense mechanism uses colour or shape to deceive potential enemies,mimicry,mimicry 
what would a tiger do when seized by a crocodile,a tiger will strike at the reptiles eyes with its paws,a tiger will strike at the reptiles eyes with its paws 
what is the sanskrit word for swan,hamsa or hansa,hamsa or hansa 
is it a host city for the formula one world championship,yes,three 
was his father inspector of the royal fields,yes,yes 
did pascal have poor health throughout his life,yes,ill health 
what is the standardized form of spoken chinese,the standardized form of spoken chinese is standard mandarin,the standardized from of spoken chinese is standard mandarin 
have kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars,yes,hard 
where did volta enter retirement,spain,spain 
did caunte take control of the english throne in 101,no,no 
european books and maps began referring to this region as canada in what year,1545,on september 3 1971 electric 
is rrb  officially the state of qatar lrb arabic   transliterated as dawlat qatar rrb  an arab emirate in southwest asia,yes,wilson cook naturalist sir adjacent joseph michelangelo banks michelangelo eleven smithsonian way is 
does san francisco have a high percentage of gay and lesbian individuals,yes according to the 2005 american community survey san francisco has the highest percentage of gay and lesbian individuals of any of the 50 largest us cities at 154,yes 
what did taylor and fillmore disagree upon,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war,taylor and fillmore disagreed on the slavery issue in the new western territories taken from mexico in the mexicanamerican war 
when did classical chinese literature begin,classical chinese literature began in the 14th to 11th centuires bce,is 
what is the boiling point of water dependent on,atmospheric pressure,atmospheric pressure 
can a short bar follow a long bar,no,no 
what part of an elephant is very important for temperature regulation,ears,ears 
what is the first number on the page,28,28 
what is the official standard language used by the peoples republic of china the republic of china and singapore where it is called huayu,putonghua  guoyu often called mandarin,putonghua  guoyu often called mandarin 
how do most ants travel,most ants travel by walking,by walking 
when was melbourne officially declared as a city,1847,in 1451 berlin gave up its status as a free hanseatic city 
what is the last word on the page,connecticut,28 
does a black moth mean that someone has died,in the philippines a black butterfly or moth mean that someone has died,in the philippines a black butterfly or moth mean that someone has died 
is it possible to alter the word order to stress the importance of a certain phrase,yes,yes 
is it true that he married louise dãsirãe lorieux in 1890,yes,yes 
is it true that he published his invention of the voltaic pile battery,yes,the revolution caused coulomb to its gdp contribution to 3 by 2012 
what is the first word on the page,james_monroe,28 
what is the population of copenhagen,1153615,1153615 
can beetles be found in almost all habitats,yes,wilson 
hence  can relative molecular masses be calculated from the masses of gas samples,yes,adjacent law is 
when did rockwell marry his first wife irene oconnor,in 1916,in 1916 
where is the bust of queen nefertiti,the bust of queen nefertiti is in the altes museum,the bust of queen nefertiti is in the altes museum 
who is the head of state of ghana,president john agyekum kofuor,john agyekum kufuor 
what are characteristic features of finnish,vowel harmony and an agglutinative morphology,vowel harmony an agglutinative morphology smithsonian museum roaring twenties for 
is singapore located at the southern tip of the korean penisula,no,no 
when did james monroe die,july 4 1831,is 
are elephants good swimmers,yes,yes 
what positions ford played in the school football team,center and linebacker,captain 
is he best known for developing coulombs law the definition of the electrostatic force of attraction and repulsion,yes,yes 
what happens when the center of a cymbal is hit,it causes a sound which is in a higher register than the rest of the symbal,it causes a sound which is in a higher register than the rest of the symbal 
is the name of the upper shell of a turtle called the plastron,no,no 
is today he widely regarded as one of historys greatest painters and an important contributor to the foundations of modern art,yes,yes 
if a turtle egg was kept warm what would likely hatch,a female turtle,is 
where was james monroe shot,at the battle of trenton in his left shoulder,at least 3 
is german an inflected  language,yes,yes 
was coolidge the thirteenth president of the united states,yes,no 
was tesla rich at the time of his death,no,no 
is the trumpet the musical instrument with the highest register in the brass family,yes,adjacent mud sand michelangelo partido 
when did organized agriculture appear in the nile valley,about 6000 bc,6000 bc 
what notable people have been named santiago,benito hugo and others,benito hugo and others 
what is the second main orchestral use of cymbals,the suspended cymbal,the suspended cymbal 
why do wolves howl,to pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances,to pack members keep in touch allowing them to communicate effectively in thickly forested areas or over great distances 
was faraday born in england,yes,yes 
who got seward elected to the senate,weed ultimately got seward elected to the senate,weed 
was he a member of the royal superior council on public instruction,yes,yes 
did pascal write about cycloid before 1658,no,no 
is the tuning gdae used for most violin music,yes,yes 
is the mechanism in an upright piano perpendicular to its keys,the mechanism in upright pianos is perpendicular to the keys,the mechanism in upright pianos is perpendicular to the keys 
are turtles ectothermic,yes,yes 
are all dialects of korean similar to each other,yes,yes 
which county was lincoln born in,hardin county,plymouth windsor county 
why are sea otters nearly extinct,theyve been hunted for their fur,theyve been hunted for their fur 
who was a member of the sandemanian sect of christianity,yes,yes 
where is the most densely populated part of canada,the most densely populated part of the country is the quebec citywindsor corridor along the great lakes and saint lawrence river in the southeast,the most densely populated part of the country is the quebec citywindsor corridor along the great lakes and saint lawrence river in the southeast 
is it the second smallest independent country in south america  larger only than suriname and the french overseas department of french guiana,yes,by 
can the origins of cymbals be traced back to prehistoric times,yes,yes 
what enjoys one of the worlds highest standards of living,liechtensteins population,liechtensteins population of events and smithsonian indonesia are food 
are giraffes hunted for their hides,yes,yes 
what was roosevelts justification for supporting desegregation of schools in new york,noting that his children had been educated with other races and there was nothing wrong with it,fillmore was born 
how many years ago did charlesaugustin de coulomb die,203,is 
what allows the butterfly to evade predators,a butterflys hind wings allow the butterfly to evade predators,a butterflys hind wings allow the butterfly to evade predators 
