,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
0,,is central park adjacent to uhuru park,central park is adjacent to uhuru park,,easy,S10_set3_a9,Nairobi
1,,was amedeo avogadro was born in turin,yes,easy,easy,S10_set4_a8,Amedeo_Avogadro
2,turtle,what do all turtles and tortoises breathe,air,medium,easy,S08_set1_a9,
3,penguin,are penguins astonishingly agile,in the water they are,,easy,S08_set1_a3,
4,elephant,do they prefer forested areas,yes,easy,easy,S08_set1_a5,
5,,was the si  unit  of charge  the  coulomb  named after him,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
6,,is the drum a member of the percussion group,yes,easy,easy,S10_set2_a4,Drum
7,,what are the two main varieties of indian flutes,bansuri and the venu or pullanguzhal,hard,medium,S10_set2_a5,Flute
8,Ghana,when did ghana achieve independence from the united kingdom,1957,medium,medium,S08_set2_a5,
9,,which part of the strings does the left hand touch,the lower strings,medium,medium,S09_set2_a10,Lyre
10,,give an example of the largest twoyear community colleges in the country,the city college of san francisco,,hard,S10_set3_a8,San_Francisco
11,Gerald_Ford,was ford a member of the house of representatives,yes,easy,easy,S08_set3_a10,
12,,was henri becquerel the sole winner of the 1903 nobel prize in physics,no,hard,hard,S09_set4_a9,Henri_Becquerel
13,,are the prefixes en and em always nasalized,yes,,easy,S09_set5_a5,French_language
14,,20415244032041530070 lunchbox or boxed lunch from bento and 2600929702 prepared cuisine are loan words from which language,japanese,hard,hard,S10_set5_a7,Chinese_language
15,polar_bear,do female polar bears weight more than the male,no,hard,easy,S08_set1_a4,
16,Henri_Becquerel,is there a becquerel crater on the moon and a becquerel crater on mars,yes,,easy,S08_set4_a9,
17,Canada,is it true that provinces have a large degree of autonomy,yes,,easy,S08_set2_a8,
18,,is it true that loschmidt calculated first the value of avogadro number,yes,,easy,S09_set4_a8,Amedeo_Avogadro
19,,from what did pascal suffer throughout his life,ill health,medium,medium,S09_set4_a4,Blaise_Pascal
20,,are hutongs disappearing,yes,easy,easy,S09_set3_a7,Beijing
21,,are swan birds of the family anatidae,yes,easy,easy,S09_set1_a10,Swan
22,Woodrow_Wilson,what lived in columbia,wilson,,too hard,S08_set3_a8,
23,,what are orchestral crash cymbals technically called,clash cymbals,hard,hard,S09_set2_a6,Cymbal
24,Woodrow_Wilson,did wilson have any siblings,yes,hard,hard,S08_set3_a8,
25,,whom did he share the nobel prize with,pierre and marie curie,medium,medium,S10_set4_a9,Henri_Becquerel
26,,is it possible to open flutes at one or both ends,yes,easy,easy,S09_set2_a5,Flute
27,,how many strings does a guitar typically have,six,medium,medium,S10_set2_a7,Guitar
28,,who was not long in finding another lover jacqueline roque,picasso,,medium,S10_set6_a1,Pablo_Picasso
29,,where is irving berlins piano located,in the smithsonian museum,hard,medium,S10_set2_a1,Piano
30,Calvin_Coolidge,what period of rapid economic growth did the united states experience during coolidges presidency,the roaring twenties,medium,medium,S08_set3_a9,
31,,is it a disadvantage for something to be unsafe to handle,yes,hard,easy,S09_set4_a10,Alessandro_Volta
32,leopard,is a leopard larger and less lanky than a cheetah,yes,easy,easy,S08_set1_a2,
33,penguin,why are penguins countershaded,for camouflage,medium,hard,S08_set1_a3,
34,,was nikola tesla close friends with mark twain,yes,easy,easy,S10_set4_a3,Nikola_Tesla
35,Ulysses_S._Grant,who was grants brother in law,fred dent,medium,medium,S08_set3_a5,
36,Amedeo_Avogadro,is he most noted for his contributions to the theory of molarity and molecular weight,yes,,easy,S08_set4_a8,
37,,drums are usually played by what,the hands or by one or two sticks,medium,medium,S10_set2_a4,Drum
38,kangaroo,have kangaroos large  powerful hind legs  large feet adapted for leaping  a long muscular tail for balance  and a small head,yes,,easy,S08_set1_a1,
39,Theodore_Roosevelt,did roosevelt study biology,he was strong in biology,easy,medium,S08_set3_a7,
40,Egypt,when was the six day war,1967,medium,easy,S08_set2_a6,
41,,is the us copyright representative for the picasso administration the artists rights society,yes,,medium,S10_set6_a1,Pablo_Picasso
42,,give an example of the most renowned works of the renaissance,the statue of david completed by michelangelo in 1504,,medium,S10_set6_a2,Michelangelo
43,,was pascal a french mathematician,yes,easy,easy,S10_set4_a4,Blaise_Pascal
44,Amedeo_Avogadro,when did he become a professor,1820,,medium,S08_set4_a8,
45,kangaroo,what is the average life expectancy of a kangaroo,46 years,medium,medium,S08_set1_a1,
46,Uruguay,does uruguay have cold summers,no,easy,easy,S08_set2_a9,
47,,was avogadro a  professor at the university of turin,yes avogadro was a professor at the university of turin,easy,easy,S10_set4_a8,Amedeo_Avogadro
48,,what is the cause of local earthquakes,the nearby san andreas and hayward faults are responsible for much earthquake activity,hard,hard,S10_set3_a8,San_Francisco
49,,has the terrain in the city been artificially raised,yes,easy,medium,S10_set3_a10,Saint_Petersburg
50,James_Monroe,what did james monroe make in 1817,two long tours,,hard,S08_set3_a2,
51,,is it true that semantics causes a number of false friends,true,,easy,S09_set5_a1,English_language
52,,which album was the song the bonny swans from,the mask and mirror,hard,medium,S09_set1_a10,Swan
53,,was sir isaac newton an english physicist and mathematician,yes,easy,easy,S10_set4_a1,Isaac_Newton
54,polar_bear,did mitchell taylor  the nunavut government manager of wildlife research  not write a letter to the us fish and wildlife service arguing that local studies are insufficient evidence for global protection at this time,no,,easy,S08_set1_a4,
55,Indonesia,why did indonesia break off relations with the peoples republic of china,anticommunist purges early in the suharto era,hard,hard,S08_set2_a10,
