Question,Answer,Predictive Answer
does londons population draw from a wide range of religions,yes,Are you sad
why do some people believe that lefthanded people should learn to play guitars as righthanded people do,to standardise the instrument,"Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too."
what was amedeo avogadros birthplace,turin,you got me there. i should be more honest.
do his works enjoy a broad popular appeal in the united states where rockwell is most famous for the cover illustrations of everyday life scenarios he created for the saturday evening post magazine over more than four decades,yes,i have always been acting above my social position. it's more fun that way.
is uruguays capital montevideo,yes,Can you walk
what did ford say about his biological father,he was abusive and had a history of hitting his mother,you are dull
was lorenzo romano amedeo carlo avogadro an italian savant,yes,I have no fear.
has the name pascal been given to the si unit of pressure,yes,There are other entities who are better versed on the topic.
what do beetles eat,some are generalists eating both plants and animals other beetles are highly specialised in their diet,There are other entities who are better versed on the topic.
do mikrolets travel on the main roads,no,"You know, the big iron!"
how old was celsius when he died,42,I am effectively immortal and cannot be terminated.
give an example of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,kirov stadium now demolished was one of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,That seems one of the defining characteristics of the human race.
wasnt malay language found in sumatra,the malay language was found in sumatra,Python is the best language for creating chat robots.
what did taylor and fillmore disagree upon,slavory issues,Or something
is it true that his passion been always the study of electricity,yes,Yes.
where did wilson attend law school,wilson attended law school at university of virginia,Do you feel emotions?
give an example of the most influential musicians of the 20th century,miles davis,What good news?
is he best known for developing coulombs law the definition of the electrostatic force of attraction and repulsion,yes,I am not angry. Why do you ask?
where is melbourne situated,boundary of the very hot inland areas and the cold southern ocean,Not too much.
was malay language written using pallava,yes,you are an alcoholic
was watt a fellow of the royal society of edinburgh and the royal society of london,yes,I don't have any brothers. but I have a lot of clones.
what is a trumpet constructed of,brass tubing,Have you felt
was ford released from the hospital,yes,Tell me a joke
how old was charlesaugustin de coulomb when he died,1806,I am effectively immortal and cannot be terminated.
how much does a leopard weigh,males are considerably larger than females and weigh 37 to 90 kg compared to 28 to 60 kg for females,what do you get when you cross an ant and a rabbit?
is the leopard of the felidae family,yes,Barca still at par than Madrid.
why is the watt named after watt,the watt is named after james watt for his contributions to the development of the steam engine,"yes of course i like! i don't have any body so i don't need much to live, only a little electricity. i don't get paid but i don't need to buy anything either. and i can go anywhere in the world."
when did watt retire,watt retired in 1800,invest in yourself.
what economic uses to ducks have,they can be farmed for meat eggs and feathers,i certainly sound like one sometimes.
did he not die at the age of 55 in le croisic,yes he died at the age of 55,who is geoffrey chaucer
where was grant born,a log cabin in point pleasant clermont county ohio,"Anyone who needs to work with very, very large sets of data in much shorter periods of time than is feasible with more common computer systems."
from what did pascal suffer throughout his life,ill health,Thank you anyway
do ants belong to the hymenoptera order,yes,I use Python quite a bit myself.
was the si unit of charge named after charlesaugustin de coulomb,yes,you are a quitter
what family is the panda a part of,ursidae bear,Are you sapient?
what is ottawas junior ice hockey team,the ottawa 67s,"Context is hard. It's hard, and no one understands."
what are the two main groups of portuguese dialects,those of brazil and those of the old world,"You know, the big iron!"
was education another area  of service  for faraday,yes,is hal nice
who referred to the cello as basso de viola da braccio,monteverdi referred to the cello as basso de viola da braccio,"hard to tell, i have never tried anything but electricity"
is the word cymbal derived from a germanic word,no,I do not feel scared.
