ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
0,,is the most important river the ciliwung river,yes,easy,easy,S10_set3_a5,Jakarta
1,,was tesla hired by edison,yes,easy,easy,S09_set4_a3,Nikola_Tesla
2,,in what year did henri becquerel die,1908,medium,medium,S09_set4_a9,Henri_Becquerel
3,,how long has the basic design of the drum remained unchanged,remained virtually unchanged for thousands of years,medium,medium,S10_set2_a4,Drum
4,,does the australian black swan have white feathers on its wings,yes,easy,medium,S09_set1_a10,Swan
5,,what does vitula mean,stringed instrument,medium,hard,S10_set2_a2,Violin
6,,what is the irish legend of the children of lir about,a stepmother transforming her children into swans for 900 years,medium,medium,S09_set1_a10,Swan
7,John_Adams,did john adams represent the continental congress in europe,yes,easy,easy,S08_set3_a1,
8,leopard,was the leopard tank a german designed tank which entered service in 1965,yes,,easy,S08_set1_a2,
9,Abraham_Lincoln,what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history,medium,easy,S08_set3_a4,
10,Abraham_Lincoln,did lincoln win the election of 1860,yes,hard,hard,S08_set3_a4,
11,,wasnt leonardo da vinci born on april 15,yes leonardo da vinci was born on april 15,,easy,S10_set6_a3,Leonardo_da_Vinci
12,James_Monroe,what does era of good feelings refers to,reduced tension,hard,medium,S08_set3_a2,
13,leopard,where is the leopard distributed,southern eurasia and africa from korea to south africa and spain,medium,medium,S08_set1_a2,
14,,avogadro did not actually use what word,atom,medium,medium,S10_set4_a8,Amedeo_Avogadro
15,,was newton a english physicist,yes,easy,easy,S09_set4_a1,Isaac_Newton
16,,which part of the strings does the left hand touch,the lower strings,medium,medium,S09_set2_a10,Lyre
17,,is eel blood toxic to humans,yes eel blood is toxic to humans,easy,easy,S10_set1_a8,Eel
18,Liechtenstein,is it the smallest germanspeaking country in the world,yes,,easy,S08_set2_a1,
19,,what are the three dialect regions of vietnamese,the three regions are north central and south,medium,easy,S10_set5_a10,Vietnamese_language
20,,where is irving berlins piano located,in the smithsonian museum,hard,medium,S10_set2_a1,Piano
21,,is the red river delta traditionally poor,yes,hard,easy,S10_set5_a10,Vietnamese_language
22,Ghana,does ghana have twice the per capita output of the poorer countries in west africa,yes,easy,easy,S08_set2_a5,
23,Anders_Celsius,is it true that he published a collection in 1738,no,,easy,S08_set4_a5,
24,,was his 1800  paper written in french,yes,,easy,S09_set4_a10,Alessandro_Volta
25,Millard_Fillmore,how did the supporters of henry clay feel about fillmore in 1848,angry,hard,hard,S08_set3_a3,
26,Indonesia,did the japanese invasion and subsequent occupation during wwii end dutch rule,yes,easy,easy,S08_set2_a10,
27,,do male giraffes weigh more than female giraffes,yes,hard,hard,S09_set1_a5,Giraffe
28,Millard_Fillmore,did fillmore form a law partnership before or after he founded the private university of buffalo,before,hard,hard,S08_set3_a3,
29,,is the syntax of german different with different rules,yes,,easy,S09_set5_a1,English_language
30,otter,is it true that otters eat a variety of fish,yes,,medium,S08_set1_a7,
31,turtle,are turtles pets,yes,easy,easy,S08_set1_a9,
32,,where is the kven language spoken,the kven language is spoken in northern norway,medium,medium,S10_set5_a5,Finnish_language
33,,in old french was the plural  for animal animals,yes,,easy,S09_set5_a5,French_language
34,Canada,which countries established colonies in canada,france and britain,hard,hard,S08_set2_a8,
35,,is the electrolyte sulphuric acid,yes,,easy,S09_set4_a10,Alessandro_Volta
36,duck,what unrelated water birds are ducks sometimes confused with,loons or divers grebes gallinules and coots,medium,medium,S08_set1_a10,
37,elephant,what are the elephants ears important for,temperature regulation,hard,medium,S08_set1_a5,
38,,what subject did avogadro study first,ecclesiastical law,hard,hard,S09_set4_a8,Amedeo_Avogadro
39,Theodore_Roosevelt,who helped to fund roosevelts african safari,andrew carnegie,hard,medium,S08_set3_a7,
40,Uruguay,how many times has uruguay won the world cup,twice,hard,hard,S08_set2_a9,
41,,does english grammar have minimal inflection,yes,,easy,S09_set5_a1,English_language
42,,is the red river delta traditionally poor,not compared to nghe an ha tinh or quang binh,hard,medium,S10_set5_a10,Vietnamese_language
43,Amedeo_Avogadro,is he most noted for his contributions to the theory of molarity and molecular weight,yes,,easy,S08_set4_a8,
44,,what happened in nineteen fifty seven,maynard ferguson formed his own band,,hard,S10_set2_a3,Trumpet
45,,where is the violincello held,on the shoulder,hard,medium,S09_set2_a9,Cello
46,,when was the pan flute spread to other parts of europe,7th century bc,hard,hard,S09_set2_a5,Flute
47,Theodore_Roosevelt,when did roosevelt die,on january 6 1919 roosevelt died in his sleep,medium,medium,S08_set3_a7,
48,James_Monroe,was james monroe president of the united states,yes,easy,easy,S08_set3_a2,
49,Singapore,how much increase in the medias contribution to gdp is the government seeking,the government seeks to increase its gdp contribution to 3 by 2012,hard,medium,S08_set2_a2,
50,otter,how many species of otter are there,13,medium,easy,S08_set1_a7,
51,elephant,what part of an elephant is very important for temperature regulation,the large flapping ears of an elephant are also very important for temperature regulation,medium,medium,S08_set1_a5,
52,,when was melbourne officially declared as a city,in 1847,medium,hard,S10_set3_a2,Melbourne
53,,is the spelling of turkish phonetic,yes turkish now has an alphabet suited to the sounds of the language the spelling is largely phonetic with one letter corresponding to each phoneme,easy,easy,S10_set5_a8,Turkish_language
54,otter,what is one of the challenges of reestablishing a population of eurasian otters in the uk,roadkill deaths have become one of the significant threats to the success of their reestablishment,hard,hard,S08_set1_a7,
55,,is berlin the capital city of germany,yes,easy,easy,S10_set3_a1,Berlin
56,Gray_Wolf,where is the largest gray wolf population thought to be found,kazakhstan,medium,medium,S08_set1_a6,
57,penguin,how tall were the tallest prehistoric penguins,as tall as an adult human,medium,hard,S08_set1_a3,
58,Ghana,who was kwame nkrumah,founder and first president,medium,medium,S08_set2_a5,
59,,what happened in 1757 to 1759,charlesaugustin de coulomb joined his fathers family in montpellier and took part in the work of the academy of the city,,hard,S10_set4_a6,Charles-Augustin_de_Coulomb
60,,do all eels live in fresh water,no not all eels live in fresh water,hard,too hard,S10_set1_a8,Eel
61,,did suharto resign as president,yes,,easy,S10_set3_a5,Jakarta
62,,is volta buried in the city  of como,yes,,easy,S09_set4_a10,Alessandro_Volta
63,,did faraday lecture on education in 1854,yes,hard,easy,S09_set4_a7,Michael_Faraday
64,Woodrow_Wilson,was wilson a member of the phi kappa psi fraternity,totallyt,easy,easy,S08_set3_a8,
65,,where do most people in urban saint petersburg live,apartments,medium,hard,S10_set3_a10,Saint_Petersburg
66,penguin,are penguins birds,yes,easy,easy,S08_set1_a3,
67,,is antwerp a municipality,yes,easy,easy,S10_set3_a4,Antwerp
68,,when did concert flutes begin appearing in concert ensembles,the 16thcentury,medium,medium,S10_set2_a5,Flute
69,,give an example of the official languages of the special administrative region of macau and east timor,portuguese,,medium,S10_set5_a1,Portuguese_language
70,Gerald_Ford,was ford interred at his presidential museum in grand rapids michigan,yes,,easy,S08_set3_a10,
71,,where did the xylophone originate,indonesia,medium,medium,S09_set2_a8,Xylophone
72,,are the korean names for the language based on the names for korea used in north as well as south korea,yes,,easy,S10_set5_a6,Korean_language
73,,what is the polish word for swan,åabädåº,hard,easy,S09_set1_a10,Swan
74,,is it true that he published his invention of the voltaic pile battery,yes,,easy,S09_set4_a10,Alessandro_Volta
75,,where does the word violin come from,the middle latin word vitula,medium,medium,S09_set2_a2,Violin
76,,is the larger work now almost universally attributed to leonardo,although previously attributed to ghirlandaio the larger work is now almost universally attributed to leonardo,,medium,S10_set6_a3,Leonardo_da_Vinci
77,Grover_Cleveland,who did cleveland run against in 1884,former senator james g blaine of maine,hard,easy,S08_set3_a6,
78,,how many state parks are in san francisco,there is one state park in san francisco,medium,hard,S10_set3_a8,San_Francisco
79,duck,what animal attracts the most humor and silliness,the duck,medium,medium,S08_set1_a10,
80,,did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,easy,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
81,Ulysses_S._Grant,did horace greenley lose in the presidential elections of 1872,si,hard,medium,S08_set3_a5,
82,,was coulomb born in angoulãªme  france   to a well  to do  family,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
83,Uruguay,what does a citizen use to propose changes to the constitution,plebiscite,medium,medium,S08_set2_a9,
84,,what are zebras hunted for,skins,medium,medium,S10_set1_a9,Zebra
85,Grover_Cleveland,is he buried in the princeton cemetery of the nassau presbyterian church,yes,,easy,S08_set3_a6,
